,,,,,,,,,,,,
,Source block B,,,,Source block C,,,,,,,
,5.61,95.55116,99.84982,,,,,,,,,
,5.62,95.57199,99.84982,,,,,,,,,
,5.63,95.59283,99.84982,,,,,,,,,
,5.64,95.61367,99.84982,,,,,,,,,
,5.65,95.63451,99.84982,,,,,,,,,
,5.66,95.64493,99.84982,,,,,,,,,
,5.67,95.66576,99.84982,,,,,,,,,
,5.68,95.6866,99.85983,,,,,,,,,
,5.69,95.70744,99.85983,,,,,,,,,
,5.7,95.72828,99.85983,,,,,,,,,
,5.71,95.74911,99.85983,,,,,,,,,
,5.72,95.76995,99.85983,,,,,,,,,
,5.73,95.79079,99.85983,,,,,,,,,
,5.74,95.81163,99.85983,,,,,,,,,
,5.75,95.82205,99.85983,,,,,,,,,
,5.76,95.84288,99.85983,,,,,,,,,
,5.77,95.86372,99.85983,,,,,,,,,
,5.78,95.88456,99.85983,,,,,,,,,
,5.79,95.9054,99.85983,,,,,,,,,
,5.8,95.92623,99.85983,,,,,,,,,
,5.81,95.93665,99.85983,,,,,,,,,
,5.82,95.95749,99.85983,,,,,,,,,
,5.83,95.97833,99.86984,,,,,,,,,
,5.84,95.99917,99.86984,,,,,,,,,
,5.85,96.02,99.86984,,,,,,,,,
,5.86,96.03042,99.86984,,,,,,,,,
,5.87,96.05126,99.86984,,,,,,,,,
,5.88,96.0721,99.86984,,,,,,,,,
,5.89,96.09294,99.86984,,,,,,,,,
,5.9,96.10335,99.86984,,,,,,,,,
,5.91,96.12419,99.86984,,,,,,,,,
,5.92,96.14503,99.86984,,,,,,,,,
,5.93,96.16587,99.86984,,,,,,,,,
,5.94,96.17629,99.86984,,,,,,,,,
,5.95,96.19712,99.86984,,,,,,,,,
,5.96,96.21796,99.86984,,,,,,,,,
,5.97,96.22838,99.86984,,,,,,,,,
,5.98,96.24922,99.86984,,,,,,,,,
,5.99,96.27006,99.87986,,,,,,,,,
,6,96.28048,99.87986,,,,,,,,,
,6.01,96.30131,99.87986,,,,,,,,,
,6.02,96.32215,99.87986,,,,,,,,,
,6.03,96.33257,99.87986,,,,,,,,,
,6.04,96.35341,99.87986,,,,,,,,,
,6.05,96.37424,99.87986,,,,,,,,,
,6.06,96.38466,99.87986,,,,,,,,,
,6.07,96.4055,99.87986,,,,,,,,,
,6.08,96.42634,99.87986,,,,,,,,,
,6.09,96.43676,99.87986,,,,,,,,,
,6.1,96.4576,99.87986,,,,,,,,,
,6.11,96.46801,99.87986,,,,,,,,,
,6.12,96.48885,99.87986,,,,,,,,,
,6.13,96.50969,99.87986,,,,,,,,,
,6.14,96.52011,99.87986,,,,,,,,,
,6.15,96.54095,99.87986,,,,,,,,,
,6.16,96.55136,99.87986,,,,,,,,,
,6.17,96.5722,99.88987,,,,,,,,,
,6.18,96.58262,99.88987,,,,,,,,,
,6.19,96.60346,99.88987,,,,,,,,,
,6.2,96.6243,99.88987,,,,,,,,,
,6.21,96.63472,99.88987,,,,,,,,,
,6.22,96.65555,99.88987,,,,,,,,,
,6.23,96.66597,99.88987,,,,,,,,,
,6.24,96.68681,99.88987,,,,,,,,,
,6.25,96.69723,99.88987,,,,,,,,,
,6.26,96.71807,99.88987,,,,,,,,,
,6.27,96.72849,99.88987,,,,,,,,,
,6.28,96.74932,99.88987,,,,,,,,,
,6.29,96.75974,99.88987,,,,,,,,,
,6.3,96.78058,99.88987,,,,,,,,,
,6.31,96.791,99.88987,,,,,,,,,
,6.32,96.81184,99.88987,,,,,,,,,
,6.33,96.82225,99.88987,,,,,,,,,
,6.34,96.83267,99.88987,,,,,,,,,
,6.35,96.85351,99.88987,,,,,,,,,
,6.36,96.86393,99.88987,,,,,,,,,
,6.37,96.88477,99.89988,,,,,,,,,
,6.38,96.89519,99.89988,,,,,,,,,
,6.39,96.91602,99.89988,,,,,,,,,
,6.4,96.92644,99.89988,,,,,,,,,
,6.41,96.93686,99.89988,,,,,,,,,
,6.42,96.9577,99.89988,,,,,,,,,
,6.43,96.96812,99.89988,,,,,,,,,
,6.44,96.98896,99.89988,,,,,,,,,
,6.45,96.99937,99.89988,,,,,,,,,
,6.46,97.02021,99.89988,,,,,,,,,
,6.47,97.03063,99.89988,,,,,,,,,
,6.48,97.04105,99.89988,,,,,,,,,
,6.49,97.06189,99.89988,,,,,,,,,
,6.5,97.07231,99.89988,,,,,,,,,
,6.51,97.08273,99.89988,,,,,,,,,
,6.52,97.10356,99.89988,,,,,,,,,
,6.53,97.11398,99.89988,,,,,,,,,
,6.54,97.1244,99.89988,,,,,,,,,
,6.55,97.14524,99.89988,,,,,,,,,
,6.56,97.15566,99.89988,,,,,,,,,
,6.57,97.16608,99.89988,,,,,,,,,
,6.58,97.18691,99.90989,,,,,,,,,
,6.59,97.19733,99.90989,,,,,,,,,
,6.6,97.20775,99.90989,,,,,,,,,
,6.61,97.22859,99.90989,,,,,,,,,
,6.62,97.23901,99.90989,,,,,,,,,
,6.63,97.24943,99.90989,,,,,,,,,
,6.64,97.27026,99.90989,,,,,,,,,
,6.65,97.28068,99.90989,,,,,,,,,
,6.66,97.2911,99.90989,,,,,,,,,
,6.67,97.30152,99.90989,,,,,,,,,
,6.68,97.32236,99.90989,,,,,,,,,
,6.69,97.33278,99.90989,,,,,,,,,
,6.7,97.3432,99.90989,,,,,,,,,
,6.71,97.36403,99.90989,,,,,,,,,
,6.72,97.37445,99.90989,,,,,,,,,
,6.73,97.38487,99.90989,,,,,,,,,
,6.74,97.39529,99.90989,,,,,,,,,
,6.75,97.41613,99.90989,,,,,,,,,
,6.76,97.42655,99.90989,,,,,,,,,
,6.77,97.43697,99.90989,,,,,,,,,
,6.78,97.44738,99.90989,,,,,,,,,
,6.79,97.46822,99.90989,,,,,,,,,
,6.8,97.47864,99.90989,,,,,,,,,
,6.81,97.48906,99.9199,,,,,,,,,
,6.82,97.49948,99.9199,,,,,,,,,
,6.83,97.5099,99.9199,,,,,,,,,
,6.84,97.53074,99.9199,,,,,,,,,
,6.85,97.54115,99.9199,,,,,,,,,
,6.86,97.55157,99.9199,,,,,,,,,
,6.87,97.56199,99.9199,,,,,,,,,
,6.88,97.57241,99.9199,,,,,,,,,
,6.89,97.59325,99.9199,,,,,,,,,
,6.9,97.60367,99.9199,,,,,,,,,
,6.91,97.61409,99.9199,,,,,,,,,
,6.92,97.62451,99.9199,,,,,,,,,
,6.93,97.63492,99.9199,,,,,,,,,
,6.94,97.64534,99.9199,,,,,,,,,
,6.95,97.66618,99.9199,,,,,,,,,
,6.96,97.6766,99.9199,,,,,,,,,
,6.97,97.68702,99.9199,,,,,,,,,
,6.98,97.69744,99.9199,,,,,,,,,
,6.99,97.70786,99.9199,,,,,,,,,
,7,97.71827,99.9199,,,,,,,,,
,7.01,97.72869,99.9199,,,,,,,,,
,7.02,97.74953,99.9199,,,,,,,,,
,7.03,97.75995,99.9199,,,,,,,,,
,7.04,97.77037,99.9199,,,,,,,,,
,7.05,97.78079,99.9199,,,,,,,,,
,7.06,97.79121,99.92992,,,,,,,,,
,7.07,97.80163,99.92992,,,,,,,,,
,7.08,97.81204,99.92992,,,,,,,,,
,7.09,97.82246,99.92992,,,,,,,,,
,7.1,97.83288,99.92992,,,,,,,,,
,7.11,97.85372,99.92992,,,,,,,,,
,7.12,97.86414,99.92992,,,,,,,,,
,7.13,97.87456,99.92992,,,,,,,,,
,7.14,97.88498,99.92992,,,,,,,,,
,7.15,97.89539,99.92992,,,,,,,,,
,7.16,97.90581,99.92992,,,,,,,,,
,7.17,97.91623,99.92992,,,,,,,,,
,7.18,97.92665,99.92992,,,,,,,,,
,7.19,97.93707,99.92992,,,,,,,,,
,7.2,97.94749,99.92992,,,,,,,,,
,7.21,97.95791,99.92992,,,,,,,,,
,7.22,97.96833,99.92992,,,,,,,,,
,7.23,97.97875,99.92992,,,,,,,,,
,7.24,97.98916,99.92992,,,,,,,,,
,7.25,97.99958,99.92992,,,,,,,,,
,7.26,98.01,99.92992,,,,,,,,,
,7.27,98.02042,99.92992,,,,,,,,,
,7.28,98.04126,99.92992,,,,,,,,,
,7.29,98.05168,99.92992,,,,,,,,,
,7.3,98.0621,99.92992,,,,,,,,,
,7.31,98.07252,99.92992,,,,,,,,,
,7.32,98.08293,99.92992,,,,,,,,,
,7.33,98.09335,99.92992,,,,,,,,,
,7.34,98.10377,99.93993,,,,,,,,,
,7.35,98.11419,99.93993,,,,,,,,,
,7.36,98.12461,99.93993,,,,,,,,,
,7.37,98.13503,99.93993,,,,,,,,,
,7.38,98.14545,99.93993,,,,,,,,,
,7.39,98.15587,99.93993,,,,,,,,,
,7.4,98.16628,99.93993,,,,,,,,,
,7.41,98.1767,99.93993,,,,,,,,,
,7.42,98.18712,99.93993,,,,,,,,,
,7.43,98.19754,99.93993,,,,,,,,,
,7.44,98.20796,99.93993,,,,,,,,,
,7.45,98.20796,99.93993,,,,,,,,,
,7.46,98.21838,99.93993,,,,,,,,,
,7.47,98.2288,99.93993,,,,,,,,,
,7.48,98.23922,99.93993,,,,,,,,,
,7.49,98.24964,99.93993,,,,,,,,,
,7.5,98.26005,99.93993,,,,,,,,,
,7.51,98.27047,99.93993,,,,,,,,,
,7.52,98.28089,99.93993,,,,,,,,,
,7.53,98.29131,99.93993,,,,,,,,,
,7.54,98.30173,99.93993,,,,,,,,,
,7.55,98.31215,99.93993,,,,,,,,,
,7.56,98.32257,99.93993,,,,,,,,,
,7.57,98.33299,99.93993,,,,,,,,,
,7.58,98.3434,99.93993,,,,,,,,,
,7.59,98.35382,99.93993,,,,,,,,,
,7.6,98.36424,99.93993,,,,,,,,,
,7.61,98.37466,99.93993,,,,,,,,,
,7.62,98.38508,99.93993,,,,,,,,,
,7.63,98.38508,99.93993,,,,,,,,,
,7.64,98.3955,99.93993,,,,,,,,,
,7.65,98.40592,99.93993,,,,,,,,,
,7.66,98.41634,99.94994,,,,,,,,,
,7.67,98.42676,99.94994,,,,,,,,,
,7.68,98.43717,99.94994,,,,,,,,,
,7.69,98.44759,99.94994,,,,,,,,,
,7.7,98.45801,99.94994,,,,,,,,,
,7.71,98.46843,99.94994,,,,,,,,,
,7.72,98.47885,99.94994,,,,,,,,,
,7.73,98.47885,99.94994,,,,,,,,,
,7.74,98.48927,99.94994,,,,,,,,,
,7.75,98.49969,99.94994,,,,,,,,,
,7.76,98.51011,99.94994,,,,,,,,,
,7.77,98.52053,99.94994,,,,,,,,,
,7.78,98.53094,99.94994,,,,,,,,,
,7.79,98.54136,99.94994,,,,,,,,,
,7.8,98.55178,99.94994,,,,,,,,,
,7.81,98.55178,99.94994,,,,,,,,,
,7.82,98.5622,99.94994,,,,,,,,,
,7.83,98.57262,99.94994,,,,,,,,,
,7.84,98.58304,99.94994,,,,,,,,,
,7.85,98.59346,99.94994,,,,,,,,,
,7.86,98.60388,99.94994,,,,,,,,,
,7.87,98.60388,99.94994,,,,,,,,,
,7.88,98.61429,99.94994,,,,,,,,,
,7.89,98.62471,99.94994,,,,,,,,,
,7.9,98.63513,99.94994,,,,,,,,,
,7.91,98.64555,99.94994,,,,,,,,,
,7.92,98.65597,99.94994,,,,,,,,,
,7.93,98.66639,99.94994,,,,,,,,,
,7.94,98.66639,99.94994,,,,,,,,,
,7.95,98.67681,99.94994,,,,,,,,,
,7.96,98.68723,99.94994,,,,,,,,,
,7.97,98.69765,99.94994,,,,,,,,,
,7.98,98.70806,99.94994,,,,,,,,,
,7.99,98.70806,99.94994,,,,,,,,,
,8,98.71848,99.94994,,,,,,,,,
,8.01,98.7289,99.95995,,,,,,,,,
,8.02,98.73932,99.95995,,,,,,,,,
,8.03,98.74974,99.95995,,,,,,,,,
,8.04,98.74974,99.95995,,,,,,,,,
,8.05,98.76016,99.95995,,,,,,,,,
,8.06,98.77058,99.95995,,,,,,,,,
,8.07,98.781,99.95995,,,,,,,,,
,8.08,98.79141,99.95995,,,,,,,,,
,8.09,98.79141,99.95995,,,,,,,,,
,8.1,98.80183,99.95995,,,,,,,,,
,8.11,98.81225,99.95995,,,,,,,,,
,8.12,98.82267,99.95995,,,,,,,,,
,8.13,98.83309,99.95995,,,,,,,,,
,8.14,98.83309,99.95995,,,,,,,,,
,8.15,98.84351,99.95995,,,,,,,,,
,8.16,98.85393,99.95995,,,,,,,,,
,8.17,98.86435,99.95995,,,,,,,,,
,8.18,98.86435,99.95995,,,,,,,,,
,8.19,98.87477,99.95995,,,,,,,,,
,8.2,98.88518,99.95995,,,,,,,,,
,8.21,98.8956,99.95995,,,,,,,,,
,8.22,98.8956,99.95995,,,,,,,,,
,8.23,98.90602,99.95995,,,,,,,,,
,8.24,98.91644,99.95995,,,,,,,,,
,8.25,98.92686,99.95995,,,,,,,,,
,8.26,98.92686,99.95995,,,,,,,,,
,8.27,98.93728,99.95995,,,,,,,,,
,8.28,98.9477,99.95995,,,,,,,,,
,8.29,98.95812,99.95995,,,,,,,,,
,8.3,98.95812,99.95995,,,,,,,,,
,8.31,98.96854,99.95995,,,,,,,,,
,8.32,98.97895,99.95995,,,,,,,,,
,8.33,98.98937,99.95995,,,,,,,,,
,8.34,98.98937,99.95995,,,,,,,,,
,8.35,98.99979,99.95995,,,,,,,,,
,8.36,99.01021,99.95995,,,,,,,,,
,8.37,99.02063,99.95995,,,,,,,,,
,8.38,99.02063,99.95995,,,,,,,,,
,8.39,99.03105,99.95995,,,,,,,,,
,8.4,99.04147,99.96996,,,,,,,,,
,8.41,99.04147,99.96996,,,,,,,,,
,8.42,99.05189,99.96996,,,,,,,,,
,8.43,99.0623,99.96996,,,,,,,,,
,8.44,99.07272,99.96996,,,,,,,,,
,8.45,99.07272,99.96996,,,,,,,,,
,8.46,99.08314,99.96996,,,,,,,,,
,8.47,99.09356,99.96996,,,,,,,,,
,8.48,99.09356,99.96996,,,,,,,,,
,8.49,99.10398,99.96996,,,,,,,,,
,8.5,99.1144,99.96996,,,,,,,,,
,8.51,99.12482,99.96996,,,,,,,,,
,8.52,99.12482,99.96996,,,,,,,,,
,8.53,99.13524,99.96996,,,,,,,,,
,8.54,99.14566,99.96996,,,,,,,,,
,8.55,99.14566,99.96996,,,,,,,,,
,8.56,99.15607,99.96996,,,,,,,,,
,8.57,99.16649,99.96996,,,,,,,,,
,8.58,99.16649,99.96996,,,,,,,,,
,8.59,99.17691,99.96996,,,,,,,,,
,8.6,99.18733,99.96996,,,,,,,,,
,8.61,99.18733,99.96996,,,,,,,,,
,8.62,99.19775,99.96996,,,,,,,,,
,8.63,99.20817,99.96996,,,,,,,,,
,8.64,99.20817,99.96996,,,,,,,,,
,8.65,99.21859,99.96996,,,,,,,,,
,8.66,99.22901,99.96996,,,,,,,,,
,8.67,99.22901,99.96996,,,,,,,,,
,8.68,99.23942,99.96996,,,,,,,,,
,8.69,99.24984,99.96996,,,,,,,,,
,8.7,99.24984,99.96996,,,,,,,,,
,8.71,99.26026,99.96996,,,,,,,,,
,8.72,99.27068,99.96996,,,,,,,,,
,8.73,99.27068,99.96996,,,,,,,,,
,8.74,99.2811,99.96996,,,,,,,,,
,8.75,99.29152,99.96996,,,,,,,,,
,8.76,99.29152,99.96996,,,,,,,,,
,8.77,99.30194,99.96996,,,,,,,,,
,8.78,99.31236,99.96996,,,,,,,,,
,8.79,99.31236,99.96996,,,,,,,,,
,8.8,99.32278,99.96996,,,,,,,,,
,8.81,99.32278,99.96996,,,,,,,,,
,8.82,99.33319,99.96996,,,,,,,,,
,8.83,99.34361,99.96996,,,,,,,,,
,8.84,99.34361,99.96996,,,,,,,,,
,8.85,99.35403,99.96996,,,,,,,,,
,8.86,99.36445,99.97998,,,,,,,,,
,8.87,99.36445,99.97998,,,,,,,,,
,8.88,99.37487,99.97998,,,,,,,,,
,8.89,99.37487,99.97998,,,,,,,,,
,8.9,99.38529,99.97998,,,,,,,,,
,8.91,99.39571,99.97998,,,,,,,,,
,8.92,99.39571,99.97998,,,,,,,,,
,8.93,99.40613,99.97998,,,,,,,,,
,8.94,99.41655,99.97998,,,,,,,,,
,8.95,99.41655,99.97998,,,,,,,,,
,8.96,99.42696,99.97998,,,,,,,,,
,8.97,99.42696,99.97998,,,,,,,,,
,8.98,99.43738,99.97998,,,,,,,,,
,8.99,99.4478,99.97998,,,,,,,,,
,9,99.4478,99.97998,,,,,,,,,
,9.01,99.45822,99.97998,,,,,,,,,
,9.02,99.45822,99.97998,,,,,,,,,
,9.03,99.46864,99.97998,,,,,,,,,
,9.04,99.47906,99.97998,,,,,,,,,
,9.05,99.47906,99.97998,,,,,,,,,
,9.06,99.48948,99.97998,,,,,,,,,
,9.07,99.48948,99.97998,,,,,,,,,
,9.08,99.4999,99.97998,,,,,,,,,
,9.09,99.51031,99.97998,,,,,,,,,
,9.1,99.51031,99.97998,,,,,,,,,
,9.11,99.52073,99.97998,,,,,,,,,
,9.12,99.52073,99.97998,,,,,,,,,
,9.13,99.53115,99.97998,,,,,,,,,
,9.14,99.53115,99.97998,,,,,,,,,
,9.15,99.54157,99.97998,,,,,,,,,
,9.16,99.55199,99.97998,,,,,,,,,
,9.17,99.55199,99.97998,,,,,,,,,
,9.18,99.56241,99.97998,,,,,,,,,
,9.19,99.56241,99.97998,,,,,,,,,
,9.2,99.57283,99.97998,,,,,,,,,
,9.21,99.58325,99.97998,,,,,,,,,
,9.22,99.58325,99.97998,,,,,,,,,
,9.23,99.59367,99.97998,,,,,,,,,
,9.24,99.59367,99.97998,,,,,,,,,
,9.25,99.60408,99.97998,,,,,,,,,
,9.26,99.60408,99.97998,,,,,,,,,
,9.27,99.6145,99.97998,,,,,,,,,
,9.28,99.6145,99.97998,,,,,,,,,
,9.29,99.62492,99.97998,,,,,,,,,
,9.3,99.63534,99.97998,,,,,,,,,
,9.31,99.63534,99.97998,,,,,,,,,
,9.32,99.64576,99.97998,,,,,,,,,
,9.33,99.64576,99.97998,,,,,,,,,
,9.34,99.65618,99.97998,,,,,,,,,
,9.35,99.65618,99.97998,,,,,,,,,
,9.36,99.6666,99.97998,,,,,,,,,
,9.37,99.6666,99.97998,,,,,,,,,
,9.38,99.67702,99.98999,,,,,,,,,
,9.39,99.68743,99.98999,,,,,,,,,
,9.4,99.68743,99.98999,,,,,,,,,
,9.41,99.69785,99.98999,,,,,,,,,
,9.42,99.69785,99.98999,,,,,,,,,
,9.43,99.70827,99.98999,,,,,,,,,
,9.44,99.70827,99.98999,,,,,,,,,
,9.45,99.71869,99.98999,,,,,,,,,
,9.46,99.71869,99.98999,,,,,,,,,
,9.47,99.72911,99.98999,,,,,,,,,
,9.48,99.72911,99.98999,,,,,,,,,
,9.49,99.73953,99.98999,,,,,,,,,
,9.5,99.73953,99.98999,,,,,,,,,
,9.51,99.74995,99.98999,,,,,,,,,
,9.52,99.74995,99.98999,,,,,,,,,
,9.53,99.76037,99.98999,,,,,,,,,
,9.54,99.76037,99.98999,,,,,,,,,
,9.55,99.77079,99.98999,,,,,,,,,
,9.56,99.7812,99.98999,,,,,,,,,
,9.57,99.7812,99.98999,,,,,,,,,
,9.58,99.79162,99.98999,,,,,,,,,
,9.59,99.79162,99.98999,,,,,,,,,
,9.6,99.80204,99.98999,,,,,,,,,
,9.61,99.80204,99.98999,,,,,,,,,
,9.62,99.81246,99.98999,,,,,,,,,
,9.63,99.81246,99.98999,,,,,,,,,
,9.64,99.82288,99.98999,,,,,,,,,
,9.65,99.82288,99.98999,,,,,,,,,
,9.66,99.8333,99.98999,,,,,,,,,
,9.67,99.8333,99.98999,,,,,,,,,
,9.68,99.84372,99.98999,,,,,,,,,
,9.69,99.84372,99.98999,,,,,,,,,
,9.7,99.85414,99.98999,,,,,,,,,
,9.71,99.85414,99.98999,,,,,,,,,
,9.72,99.86456,99.98999,,,,,,,,,
,9.73,99.86456,99.98999,,,,,,,,,
,9.74,99.87497,99.98999,,,,,,,,,
,9.75,99.87497,99.98999,,,,,,,,,
,9.76,99.88539,99.98999,,,,,,,,,
,9.77,99.88539,99.98999,,,,,,,,,
,9.78,99.89581,99.98999,,,,,,,,,
,9.79,99.89581,99.98999,,,,,,,,,
,9.8,99.90623,99.98999,,,,,,,,,
,9.81,99.90623,99.98999,,,,,,,,,
,9.82,99.91665,99.98999,,,,,,,,,
,9.83,99.91665,99.98999,,,,,,,,,
,9.84,99.92707,99.98999,,,,,,,,,
,9.85,99.92707,99.98999,,,,,,,,,
,9.86,99.92707,99.98999,,,,,,,,,
,9.87,99.93749,99.98999,,,,,,,,,
,9.88,99.93749,99.98999,,,,,,,,,
,9.89,99.94791,99.98999,,,,,,,,,
,9.9,99.94791,99.98999,,,,,,,,,
,9.91,99.95832,99.98999,,,,,,,,,
,9.92,99.95832,99.98999,,,,,,,,,
,9.93,99.96874,99.98999,,,,,,,,,
,9.94,99.96874,99.98999,,,,,,,,,
,9.95,99.97916,99.98999,,,,,,,,,
,9.96,99.97916,99.98999,,,,,,,,,
,9.97,99.98958,99.98999,,,,,,,,,
,9.98,99.98958,99.98999,,,,,,,,,
,9.99,100,100,,,,,,,,,
,10,100,100,,,,,,,,,
